ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,p5,p10,p1,p3,p100,num_rel
1.0,1.0,1.0,0.9363792118010483,0.5949009732453406,1.0,0.9,1.0,1.0,0.39,79
1.0,1.0,0.8539316501572937,0.9052116356304493,0.6525587479807544,0.8,0.9,1.0,1.0,0.6,101
1.0,1.0,1.0,1.0,0.7989230574204372,1.0,1.0,1.0,1.0,0.76,180
0.0,0.0,0.0,0.0,0.2848619528589363,0.0,0.0,0.0,0.0,0.13,30
1.0,1.0,1.0,1.0,0.8624795501824534,1.0,1.0,1.0,1.0,0.21,24
1.0,1.0,1.0,1.0,0.48006272567571434,1.0,1.0,1.0,1.0,0.34,91
1.0,1.0,1.0,1.0,0.8599815712251712,1.0,1.0,1.0,1.0,0.82,115
0.0,0.0,0.13120507751234178,0.15139734109601002,0.13931592292839262,0.2,0.2,0.0,0.0,0.13,161
1.0,1.0,0.7227265726449519,0.5988751049740155,0.7144356156372355,0.6,0.5,1.0,1.0,0.7,115
1.0,0.7039180890341347,0.5855700749881525,0.5855700749881525,0.6944638360563847,0.4,0.2,1.0,0.666666666667,0.03,4
1.0,1.0,0.8539316501572937,0.9052116356304493,0.8534797238769821,0.8,0.9,1.0,1.0,0.83,111
1.0,1.0,1.0,1.0,0.7868912615872613,1.0,1.0,1.0,1.0,0.74,256
1.0,1.0,1.0,0.7967610662472993,0.7275898828727634,1.0,0.7,1.0,1.0,0.17,23
1.0,0.7653606369886217,0.5531464700081437,0.3589542101716347,0.39102865651928687,0.4,0.2,1.0,0.666666666667,0.07,21
1.0,0.7039180890341347,0.5087403079104241,0.33013764944712026,0.13278064029635506,0.4,0.2,1.0,0.666666666667,0.07,86
0.0,0.5307212739772434,0.6608397947263839,0.7136540102475308,0.5279457379779553,0.8,0.8,0.0,0.666666666667,0.52,144
1.0,0.7653606369886217,0.7653606369886217,0.7653606369886217,0.8739415100896553,0.4,0.2,1.0,0.666666666667,0.03,3
0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.2,0.1,0.0,0.333333333333,0.01,1
0.0,0.5,0.5,0.5,0.5,0.2,0.1,0.0,0.333333333333,0.01,1
1.0,1.0,0.8687949224876582,0.914856882358379,0.7209982600356735,0.8,0.9,1.0,1.0,0.67,115
1.0,1.0,1.0,1.0,0.6834862747916567,1.0,1.0,1.0,1.0,0.49,80
1.0,1.0,1.0,1.0,0.7018699003986184,1.0,1.0,1.0,1.0,0.65,209
1.0,1.0,1.0,1.0,0.8768849558405796,1.0,1.0,1.0,1.0,0.85,156
1.0,1.0,1.0,1.0,0.9457068797495164,1.0,1.0,1.0,1.0,0.24,26
1.0,0.46927872602275644,0.48522855511632257,0.31488013066763093,0.44228786406627446,0.4,0.2,1.0,0.333333333333,0.17,32
1.0,1.0,1.0,1.0,0.7802420891065883,1.0,1.0,1.0,1.0,0.34,47
1.0,1.0,1.0,1.0,0.729599944487031,1.0,1.0,1.0,1.0,0.2,29
0.0,0.2960819109658652,0.36005461457723403,0.44510108735750953,0.6413529507128706,0.4,0.5,0.0,0.333333333333,0.11,13
1.0,1.0,1.0,1.0,0.9356572659194675,1.0,1.0,1.0,1.0,0.4,43
1.0,0.7653606369886217,0.830419897363192,0.7542686714597936,0.310123035815304,0.8,0.7,1.0,0.666666666667,0.21,164
1.0,1.0,1.0,1.0,0.7956203918011523,1.0,1.0,1.0,1.0,0.75,138
1.0,1.0,1.0,1.0,0.9541548868897501,1.0,1.0,1.0,1.0,0.95,496
1.0,1.0,1.0,1.0,0.9603492448627047,1.0,1.0,1.0,1.0,0.61,64
1.0,0.7653606369886217,0.830419897363192,0.6051399156371955,0.7520478737406299,0.8,0.5,1.0,0.666666666667,0.27,31
1.0,1.0,1.0,1.0,0.9382869947106615,1.0,1.0,1.0,1.0,0.92,264
1.0,1.0,0.8539316501572937,0.9052116356304493,0.9022782381299941,0.8,0.9,1.0,1.0,0.9,254
1.0,1.0,1.0,1.0,0.7663783906615861,1.0,1.0,1.0,1.0,0.69,149
1.0,1.0,1.0,1.0,0.8465379957998108,1.0,1.0,1.0,1.0,0.81,423
1.0,1.0,1.0,1.0,0.9218098165315143,1.0,1.0,1.0,1.0,0.9,316
1.0,1.0,1.0,1.0,0.9530766896219772,1.0,1.0,1.0,1.0,0.94,277
1.0,1.0,1.0,0.9216017310213247,0.9757354063450634,1.0,0.9,1.0,1.0,0.98,562
1.0,1.0,1.0,1.0,0.949764610445234,1.0,1.0,1.0,1.0,0.94,656
1.0,1.0,1.0,1.0,0.7851047200022662,1.0,1.0,1.0,1.0,0.76,194
1.0,1.0,1.0,1.0,0.9382294207868482,1.0,1.0,1.0,1.0,0.94,645
1.0,1.0,1.0,1.0,0.7816431865472604,1.0,1.0,1.0,1.0,0.72,152
1.0,1.0,1.0,0.9363792118010483,0.4811856234208272,1.0,0.9,1.0,1.0,0.39,151
1.0,1.0,1.0,0.9266360779006401,0.7539894706884992,1.0,0.9,1.0,1.0,0.72,365
1.0,0.46927872602275644,0.4703652827859579,0.36885567213865283,0.15143515635881669,0.4,0.3,1.0,0.333333333333,0.11,137
1.0,1.0,1.0,1.0,0.7872510256461357,1.0,1.0,1.0,1.0,0.54,73
1.0,1.0,1.0,1.0,0.9781401352868621,1.0,1.0,1.0,1.0,0.97,301
