ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,p5,p10,p1,p3,p100,num_rel
1.0,1.0,1.0,1.0,0.9529106833856792,1.0,1.0,1.0,1.0,0.74,79
1.0,1.0,1.0,0.9216017310213247,0.6567176010085959,1.0,0.9,1.0,1.0,0.59,101
1.0,1.0,1.0,1.0,0.9210642755873624,1.0,1.0,1.0,1.0,0.91,181
0.0,0.0,0.13120507751234178,0.08514311764162098,0.36085374720520097,0.2,0.1,0.0,0.0,0.16,30
1.0,0.7039180890341347,0.5087403079104241,0.4721567066247473,0.6361286484625049,0.4,0.4,1.0,0.666666666667,0.19,24
1.0,1.0,1.0,1.0,0.7205595412000617,1.0,1.0,1.0,1.0,0.61,93
1.0,1.0,1.0,1.0,0.8561646885816789,1.0,1.0,1.0,1.0,0.82,115
1.0,0.7039180890341347,0.639945385422766,0.6216966993238303,0.4945266840592007,0.6,0.6,1.0,0.666666666667,0.47,161
1.0,0.7653606369886217,0.830419897363192,0.8263333286520083,0.9455154040974892,0.8,0.8,1.0,0.666666666667,0.96,115
1.0,1.0,0.8318724637288826,0.8318724637288826,0.8318724637288826,0.6,0.3,1.0,1.0,0.03,4
1.0,0.7039180890341347,0.7860137352654724,0.8611375561264454,0.7504272883694407,0.8,0.9,1.0,0.666666666667,0.72,111
1.0,1.0,1.0,1.0,0.9709420748176294,1.0,1.0,1.0,1.0,0.97,254
1.0,1.0,1.0,0.727329844310522,0.7473308745826017,1.0,0.6,1.0,1.0,0.18,22
1.0,0.7653606369886217,0.5531464700081437,0.5801476231864474,0.46304547089900155,0.4,0.5,1.0,0.666666666667,0.07,19
0.0,0.2960819109658652,0.34519134224686937,0.2973694836145356,0.3371494477145322,0.4,0.3,0.0,0.333333333333,0.31,89
1.0,1.0,1.0,1.0,0.8701820107125399,1.0,1.0,1.0,1.0,0.84,147
1.0,0.46927872602275644,0.46927872602275644,0.46927872602275644,0.6736256889789742,0.2,0.1,1.0,0.333333333333,0.03,3
1.0,1.0,1.0,1.0,1.0,0.2,0.1,1.0,0.333333333333,0.01,1
0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.2,0.1,0.0,0.333333333333,0.01,1
1.0,1.0,1.0,1.0,0.7818514638645742,1.0,1.0,1.0,1.0,0.73,115
1.0,1.0,1.0,0.9266360779006401,0.6821051747034863,1.0,0.9,1.0,1.0,0.49,80
1.0,1.0,1.0,0.9216017310213247,0.7863995993284646,1.0,0.9,1.0,1.0,0.75,210
1.0,1.0,1.0,1.0,0.8851693174718867,1.0,1.0,1.0,1.0,0.85,157
1.0,1.0,1.0,1.0,0.9700210958742779,1.0,1.0,1.0,1.0,0.25,26
1.0,0.7653606369886217,0.830419897363192,0.8899541168509599,0.79962595560346,0.8,0.9,1.0,0.666666666667,0.25,32
1.0,1.0,1.0,1.0,0.5674183818314209,1.0,1.0,1.0,1.0,0.21,45
1.0,1.0,1.0,0.8521705090845474,0.9020253924655779,1.0,0.8,1.0,1.0,0.27,29
0.0,0.5307212739772434,0.5296347172140421,0.48571574856977245,0.7627532237745287,0.6,0.5,0.0,0.666666666667,0.13,13
1.0,1.0,1.0,1.0,0.9649628969903339,1.0,1.0,1.0,1.0,0.41,43
1.0,1.0,1.0,0.933745776545611,0.4031193924063242,1.0,0.9,1.0,1.0,0.28,162
1.0,1.0,1.0,1.0,0.9081322887868059,1.0,1.0,1.0,1.0,0.88,136
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,492
1.0,1.0,1.0,1.0,0.8930517572959956,1.0,1.0,1.0,1.0,0.57,64
1.0,1.0,0.8539316501572937,0.9052116356304493,0.971340835227487,0.8,0.9,1.0,1.0,0.31,31
1.0,1.0,1.0,1.0,0.9006289296297427,1.0,1.0,1.0,1.0,0.87,268
1.0,1.0,0.8539316501572937,0.6898286563534621,0.7607328199075142,0.8,0.6,1.0,1.0,0.76,238
1.0,1.0,1.0,1.0,0.9928271243134077,1.0,1.0,1.0,1.0,0.99,143
0.0,0.5307212739772434,0.6608397947263839,0.7799082337019199,0.9015230760564854,0.8,0.9,0.0,0.666666666667,0.93,423
1.0,1.0,1.0,1.0,0.855182901635057,1.0,1.0,1.0,1.0,0.83,310
1.0,1.0,1.0,1.0,0.9848460365049939,1.0,1.0,1.0,1.0,0.98,276
1.0,1.0,1.0,1.0,0.9822646484180746,1.0,1.0,1.0,1.0,0.98,577
1.0,1.0,1.0,1.0,0.992587468244663,1.0,1.0,1.0,1.0,0.99,684
1.0,1.0,1.0,1.0,0.6752885913829697,1.0,1.0,1.0,1.0,0.62,174
1.0,1.0,1.0,1.0,0.9847488822578103,1.0,1.0,1.0,1.0,0.98,612
1.0,1.0,1.0,1.0,0.9190820297817983,1.0,1.0,1.0,1.0,0.9,152
0.0,0.0,0.27727342735504823,0.5309999066793252,0.44782929743056293,0.4,0.7,0.0,0.0,0.43,171
1.0,1.0,0.8539316501572937,0.8389574121760602,0.5726238648626681,0.8,0.8,1.0,1.0,0.52,347
1.0,0.7653606369886217,0.6843515475204855,0.6581810421830975,0.379487742662752,0.6,0.6,1.0,0.666666666667,0.32,148
1.0,1.0,0.8687949224876582,0.7702043899253147,0.3405099283236705,0.8,0.7,1.0,1.0,0.18,71
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,301
