p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,1.0,1.0,1.0,0.61,1.0,1.0,1.0,1.0,0.9830373615426363,0.0126582278481,0.0379746835443,0.0632911392405,0.126582278481,0.709004225631,0.709004225631,61,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.8620087461095521,0.0106382978723,0.031914893617,0.0531914893617,0.106382978723,0.779558867306,0.918360298132,92,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,0.666666666667,0.8,0.7,0.46,1.0,0.7653606369886217,0.830419897363192,0.7542686714597936,0.5937569319621404,0.00621118012422,0.0124223602484,0.022049689441,0.0368973676427,0.207022600717,0.30484554767,86,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,0.666666666667,0.4,0.2,0.02,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.5,0.5,0.5,2,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030180910347,87,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00390625,0.01171875,0.01953125,0.0390625,0.390625,0.767617193273,200,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.1,0.06,0.0,0.0,0.0,0.07839826897867533,0.27741567398195327,0.0,0.0,0.0,0.00793650793651,0.0325641536295,0.048625534643,11,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00590916920494,3,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,0.9892379801183797,0.0125,0.0375,0.0625,0.125,0.851399767615,0.851399767615,72,
1.0,0.333333333333,0.4,0.2,0.19,1.0,0.46927872602275644,0.4703652827859579,0.30523488393970116,0.2287291188053806,0.0047619047619,0.0047619047619,0.00666666666667,0.00666666666667,0.0306124962257,0.226409355336,170,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,0.8,0.4,0.04,1.0,1.0,1.0,1.0,1.0,0.0384615384615,0.115384615385,0.153846153846,0.153846153846,0.153846153846,0.153846153846,4,
1.0,1.0,1.0,1.0,0.32,1.0,1.0,1.0,1.0,0.9595707496787858,0.03125,0.09375,0.15625,0.3125,0.826289316276,0.826289316276,32,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,0.9,0.79,1.0,1.0,1.0,0.9363792118010483,0.9296160072961827,0.00724637681159,0.0217391304348,0.036231884058,0.0652173913043,0.516745833752,0.549418785041,85,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.42,1.0,1.0,1.0,1.0,0.9557855015964976,0.015625,0.046875,0.078125,0.15625,0.568848749584,0.575435759388,43,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.333333333333,0.6,0.8,0.98,0.0,0.23463936301137822,0.4468535299918563,0.6410457898283652,0.9221092034272945,0.0,0.00131233595801,0.00564304461942,0.0202443444569,0.356792303011,0.383821180173,105,
1.0,1.0,1.0,1.0,0.49,1.0,1.0,1.0,1.0,0.9991803040664634,0.00671140939597,0.0201342281879,0.0335570469799,0.0671140939597,0.327329433299,0.327329433299,49,
1.0,1.0,0.8,0.9,0.91,1.0,1.0,0.8539316501572937,0.9052116356304493,0.9131741549253619,0.00236406619385,0.00709219858156,0.00898345153664,0.0192774588165,0.198322808914,0.505579380433,254,
1.0,0.666666666667,0.8,0.6,0.9,1.0,0.7039180890341347,0.7860137352654724,0.6618313225363274,0.8573496157129364,0.00315457413249,0.00525762355415,0.0101472134595,0.0154799459216,0.225818673002,0.8131167286,293,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.933745776545611,0.9014129663935321,0.00171821305842,0.00515463917526,0.0085910652921,0.0152920962199,0.137183700579,0.687992945056,433,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.9909640702290582,0.00154083204931,0.00462249614792,0.00770416024653,0.0154083204931,0.151063982274,0.232363166331,154,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.00507614213198,0.0152284263959,0.0253807106599,0.0507614213198,0.10152284264,0.10152284264,20,
0.0,0.333333333333,0.4,0.6,0.82,0.0,0.23463936301137822,0.30078518014914984,0.46785915648013904,0.7658114939349127,0.0,0.000913242009132,0.00200913242009,0.0077190693629,0.174417380369,0.633616205462,304,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.34,0.32,0.32,0.306,0.2314,0.34,0.3281567235613654,0.33376738551425844,0.33367949434400224,0.34258319759562134,0.00827648025683,0.01947513056,0.0250739819566,0.036952771903,0.144779365773,0.203053677968,51,
