p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,1.0,1.0,1.0,0.68,1.0,1.0,1.0,1.0,0.7332640333467659,0.00645161290323,0.0193548387097,0.0322580645161,0.0645161290323,0.364703638194,0.496546186556,155,
1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.8124576923533104,0.00512820512821,0.0153846153846,0.025641025641,0.0512820512821,0.376596011581,0.575640266943,195,
1.0,1.0,1.0,1.0,0.23,1.0,1.0,1.0,1.0,0.9131007430695239,0.0384615384615,0.115384615385,0.192307692308,0.384615384615,0.842250341514,0.854297570095,26,
1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,0.9543502945473141,0.03125,0.09375,0.15625,0.3125,0.918482740743,0.923680356493,32,
1.0,1.0,1.0,1.0,0.34,1.0,1.0,1.0,1.0,0.7787372454720828,0.0212765957447,0.063829787234,0.106382978723,0.212765957447,0.620531366075,0.636902559659,47,
1.0,1.0,0.8,0.8,0.22,1.0,1.0,0.8539316501572937,0.8389574121760602,0.7875877859998226,0.0344827586207,0.103448275862,0.131034482759,0.247085385878,0.619280457425,0.629731803716,29,
1.0,1.0,1.0,0.9,0.42,1.0,1.0,1.0,0.9305687780632227,0.4899652639035658,0.00862068965517,0.0258620689655,0.0431034482759,0.0757662835249,0.221142987357,0.478907053344,116,
0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.07284899837529589,0.0,0.0,0.0,0.0,0.0027529019239,0.036697738139,210,
1.0,1.0,1.0,1.0,0.68,1.0,1.0,1.0,1.0,0.7469234537034494,0.00632911392405,0.0189873417722,0.0316455696203,0.0632911392405,0.390522017451,0.621471719895,158,
1.0,1.0,1.0,0.8,0.25,1.0,1.0,1.0,0.8482378089219645,0.36114172917774684,0.0027397260274,0.00821917808219,0.013698630137,0.0200761035008,0.0515370116491,0.0699759291863,365,
1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.9914487298250162,0.00154083204931,0.00462249614792,0.00770416024653,0.0154083204931,0.151387652271,0.438740166679,649,
1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,0.9281503545258569,0.00641025641026,0.0192307692308,0.0320512820513,0.0641025641026,0.561816308315,0.788177379376,156,
0.0,0.666666666667,0.6,0.4,0.13,0.0,0.5307212739772434,0.5296347172140421,0.4170606134915054,0.7613087507618651,0.0,0.0897435897436,0.147435897436,0.191391941392,0.544172867133,0.544172867133,13,
1.0,1.0,1.0,1.0,0.38,1.0,1.0,1.0,1.0,0.9164481559908166,0.0232558139535,0.0697674418605,0.116279069767,0.232558139535,0.865695731231,0.869175092016,43,
1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.967852344505094,0.00361010830325,0.0108303249097,0.0180505415162,0.0361010830325,0.339850760598,0.757466099185,277,
1.0,1.0,1.0,1.0,0.59,1.0,1.0,1.0,1.0,0.7682689043285335,0.0126582278481,0.0379746835443,0.0632911392405,0.126582278481,0.557067313876,0.625532794103,79,
1.0,1.0,1.0,0.9,0.88,1.0,1.0,1.0,0.933745776545611,0.8879015432499107,0.00552486187845,0.0165745856354,0.0276243093923,0.0491712707182,0.433488352562,0.766231067929,181,
0.0,0.666666666667,0.8,0.4,0.13,0.0,0.5307212739772434,0.6608397947263839,0.4288398090337664,0.17602022336695639,0.0,0.0115511551155,0.026897689769,0.026897689769,0.0476166917595,0.108637367255,101,
1.0,1.0,0.6,0.6,0.18,1.0,1.0,0.7227265726449519,0.6780494608112012,0.7348301569768304,0.0416666666667,0.125,0.125,0.202628968254,0.494963376313,0.509309372383,24,
0.0,0.0,0.2,0.3,0.12,0.0,0.0,0.13120507751234178,0.22716217481924803,0.3047692863781445,0.0,0.0,0.00666666666667,0.0277777777778,0.091983677599,0.153399272843,30,
0.0,0.0,0.2,0.6,0.07,0.0,0.0,0.14606834984270645,0.4458567890377042,0.11287549683365104,0.0,0.0,0.00265957446809,0.0283772374198,0.032514353259,0.0364159751116,94,
1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.9923561015779938,0.00869565217391,0.0260869565217,0.0434782608696,0.0869565217391,0.858382418373,0.972228712244,115,
1.0,0.333333333333,0.2,0.2,0.31,1.0,0.46927872602275644,0.3391602052736161,0.28952298823485745,0.3091108410751124,0.00621118012422,0.00621118012422,0.00621118012422,0.00776397515528,0.0565598898552,0.253487544268,161,
1.0,0.666666666667,0.6,0.5,0.09,1.0,0.7653606369886217,0.6843515475204855,0.5887498202463202,0.16506607312733076,0.00315457413249,0.00630914826498,0.00820189274448,0.0120574833509,0.0149436191282,0.235640897328,317,
1.0,0.666666666667,0.6,0.8,0.51,1.0,0.7039180890341347,0.6548086577531307,0.7759944384848244,0.5769929662242165,0.00900900900901,0.015015015015,0.0217717717718,0.0551837551838,0.36281714563,0.54673531485,111,
1.0,0.666666666667,0.4,0.2,0.02,1.0,0.7653606369886217,0.6366824387328317,0.6366824387328317,0.6366824387328317,0.25,0.5,0.5,0.5,0.5,0.500181038835,4,
1.0,0.666666666667,0.8,0.5,0.16,1.0,0.7653606369886217,0.830419897363192,0.6172839611614819,0.6488968828402678,0.0416666666667,0.0833333333333,0.147916666667,0.182638888889,0.367242827473,0.384149845487,24,
1.0,1.0,1.0,0.9,0.57,1.0,1.0,1.0,0.9363792118010483,0.6305940165032508,0.00236406619385,0.00709219858156,0.0118203309693,0.0212765957447,0.0988304482716,0.43800268928,423,
1.0,0.666666666667,0.4,0.4,0.19,1.0,0.7653606369886217,0.5531464700081437,0.494639655562801,0.24984729304508174,0.0111111111111,0.0222222222222,0.0222222222222,0.0313271604938,0.0646854019713,0.150888643311,90,
1.0,1.0,0.8,0.7,0.13,1.0,1.0,0.8539316501572937,0.7534494445524138,0.6352330992857492,0.047619047619,0.142857142857,0.180952380952,0.275793650794,0.367449739845,0.380595250826,21,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135667130224,3,
1.0,1.0,1.0,0.5,0.07,1.0,1.0,1.0,0.6489315753318465,0.15766100055403004,0.00680272108844,0.0204081632653,0.0340136054422,0.0340136054422,0.0357816786388,0.120323668668,147,
0.0,0.333333333333,0.2,0.1,0.01,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.0,0.5,0.5,0.5,0.5,0.5,1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00183823529412,1,
1.0,1.0,1.0,0.7,0.09,1.0,1.0,1.0,0.7967610662472993,0.23964897484317457,0.013698630137,0.041095890411,0.0684931506849,0.0941780821918,0.101338729763,0.118541380871,73,
1.0,1.0,1.0,1.0,0.66,1.0,1.0,1.0,1.0,0.7272112139280963,0.00393700787402,0.011811023622,0.0196850393701,0.0393700787402,0.227611140943,0.317352379734,254,
1.0,0.666666666667,0.8,0.9,0.3,1.0,0.7653606369886217,0.830419897363192,0.8899541168509599,0.9434464773460655,0.0322580645161,0.0645161290323,0.114516129032,0.254979518689,0.882712341923,0.884469811167,31,
1.0,1.0,1.0,0.9,0.3,1.0,1.0,1.0,0.9305687780632227,0.5496105666241642,0.015625,0.046875,0.078125,0.137326388889,0.323491542729,0.417349770376,64,
