p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,0.666666666667,0.6,0.8,0.86,1.0,0.7653606369886217,0.6843515475204855,0.7951657524814092,0.857451052679315,0.00143472022956,0.00286944045911,0.00373027259684,0.00905126278154,0.107233397598,0.667161259762,697,
1.0,1.0,1.0,1.0,0.73,1.0,1.0,1.0,1.0,0.7705188933713526,0.00512820512821,0.0153846153846,0.025641025641,0.0512820512821,0.30961303209,0.515248846229,195,
1.0,1.0,1.0,0.7,0.09,1.0,1.0,1.0,0.7967610662472993,0.23872058717983277,0.013698630137,0.041095890411,0.0684931506849,0.0941780821918,0.100336710026,0.117038188963,73,
1.0,1.0,1.0,1.0,0.31,1.0,1.0,1.0,1.0,0.9778010768021725,0.03125,0.09375,0.15625,0.3125,0.961209317396,0.966337522525,32,
1.0,1.0,1.0,1.0,0.33,1.0,1.0,1.0,1.0,0.7633262414404101,0.0212765957447,0.063829787234,0.106382978723,0.212765957447,0.602836078744,0.624316969676,47,
1.0,1.0,0.8,0.8,0.26,1.0,1.0,0.8687949224876582,0.8454256604216017,0.8844875741291659,0.0344827586207,0.103448275862,0.137931034483,0.250629447181,0.744183093383,0.749024209655,29,
1.0,1.0,1.0,0.9,0.54,1.0,1.0,1.0,0.9305687780632227,0.5996905358693618,0.00862068965517,0.0258620689655,0.0431034482759,0.0757662835249,0.321695092955,0.537061160072,116,
1.0,1.0,1.0,0.9,0.55,1.0,1.0,1.0,0.9216017310213247,0.7455122284091268,0.0125,0.0375,0.0625,0.106512896825,0.596642599175,0.703154116991,80,
1.0,1.0,1.0,1.0,0.76,1.0,1.0,1.0,1.0,0.805511895460895,0.0047619047619,0.0142857142857,0.0238095238095,0.047619047619,0.325314915524,0.665913116011,210,
1.0,1.0,1.0,1.0,0.78,1.0,1.0,1.0,1.0,0.8243702273658176,0.00632911392405,0.0189873417722,0.0316455696203,0.0632911392405,0.452127968763,0.764496745608,158,
0.0,0.333333333333,0.6,0.7,0.55,0.0,0.23463936301137822,0.4468535299918563,0.5676818677290053,0.5728749411817529,0.0,0.00169204737733,0.0072758037225,0.0207698815567,0.207497213377,0.272195139428,197,
1.0,1.0,0.8,0.9,0.84,1.0,1.0,0.8539316501572937,0.9052116356304493,0.854762401176614,0.0027397260274,0.00821917808219,0.0104109589041,0.0223407262448,0.204179829712,0.664995393089,365,
1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.9849385371717568,0.00154083204931,0.00462249614792,0.00770416024653,0.0154083204931,0.150349329513,0.719480833165,649,
1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9192619270661799,0.00641025641026,0.0192307692308,0.0320512820513,0.0641025641026,0.551393992358,0.773810003668,156,
0.0,0.666666666667,0.6,0.5,0.13,0.0,0.5307212739772434,0.5296347172140421,0.48571574856977245,0.7728080338575953,0.0,0.0897435897436,0.147435897436,0.237179487179,0.570870618823,0.570870618823,13,
1.0,1.0,1.0,1.0,0.41,1.0,1.0,1.0,1.0,0.964782618256417,0.0232558139535,0.0697674418605,0.116279069767,0.232558139535,0.934511999345,0.942344088915,43,
1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.9763233220641415,0.00361010830325,0.0108303249097,0.0180505415162,0.0361010830325,0.345810766785,0.774533700957,277,
1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.9795090990098112,0.00171821305842,0.00515463917526,0.0085910652921,0.0171821305842,0.163922189683,0.917734314673,582,
1.0,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,0.9991455030433093,0.0126582278481,0.0379746835443,0.0632911392405,0.126582278481,0.994802578702,0.994802578702,79,
1.0,1.0,1.0,1.0,0.89,1.0,1.0,1.0,1.0,0.902400040704267,0.00552486187845,0.0165745856354,0.0276243093923,0.0552486187845,0.449779571851,0.823333502988,181,
1.0,0.666666666667,0.8,0.9,0.56,1.0,0.7653606369886217,0.830419897363192,0.8899541168509599,0.6253186837743948,0.00990099009901,0.019801980198,0.0351485148515,0.0782610403898,0.432440381267,0.594315512768,101,
1.0,1.0,0.6,0.4,0.22,1.0,1.0,0.7227265726449519,0.5423640154200349,0.7622542261195949,0.0416666666667,0.125,0.125,0.14880952381,0.418725721042,0.427488032805,24,
1.0,1.0,1.0,1.0,0.86,1.0,1.0,1.0,1.0,0.8893630156821819,0.00869565217391,0.0260869565217,0.0434782608696,0.0869565217391,0.709991960197,0.881121061058,115,
1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,0.9794671139211529,0.0106382978723,0.031914893617,0.0531914893617,0.106382978723,0.953592494043,0.962003263348,94,
1.0,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,0.7962659261468159,0.00621118012422,0.0186335403727,0.0310559006211,0.0621118012422,0.425940111721,0.63099886836,161,
1.0,1.0,1.0,0.9,0.93,1.0,1.0,1.0,0.933745776545611,0.9381276478703559,0.00315457413249,0.00946372239748,0.0157728706625,0.0280757097792,0.279475059529,0.885243453925,317,
1.0,0.666666666667,0.6,0.8,0.51,1.0,0.7039180890341347,0.6548086577531307,0.7759944384848244,0.5759075971770103,0.00900900900901,0.015015015015,0.0217717717718,0.0551837551838,0.35988485903,0.543868134619,111,
1.0,1.0,1.0,0.7,0.15,1.0,1.0,1.0,0.7885497208855957,0.6649091607652475,0.0416666666667,0.125,0.208333333333,0.276455026455,0.41914728696,0.437922691079,24,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00390625,0.01171875,0.01953125,0.0390625,0.390625,0.943410796443,256,
1.0,1.0,0.6,0.5,0.29,1.0,1.0,0.7227265726449519,0.5988751049740155,0.3816701376335941,0.0111111111111,0.0333333333333,0.0333333333333,0.0438271604938,0.159039797255,0.234984568254,90,
1.0,1.0,1.0,0.9,0.61,1.0,1.0,1.0,0.9363792118010483,0.6718261660900718,0.00680272108844,0.0204081632653,0.0340136054422,0.0612244897959,0.328723289817,0.494547834073,147,
0.0,0.333333333333,0.2,0.1,0.01,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.0,0.5,0.5,0.5,0.5,0.5,1,
1.0,0.333333333333,0.2,0.1,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,
1.0,1.0,1.0,1.0,0.87,1.0,1.0,1.0,1.0,0.8884860208552547,0.00724637681159,0.0217391304348,0.036231884058,0.0724637681159,0.57587084713,0.841406266597,138,
1.0,1.0,1.0,1.0,0.38,1.0,1.0,1.0,1.0,0.48726222712235173,0.00606060606061,0.0181818181818,0.030303030303,0.0606060606061,0.183344024447,0.373821591373,165,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00671140939597,0.0201342281879,0.0335570469799,0.0671140939597,0.671140939597,0.965972970221,149,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00393700787402,0.011811023622,0.0196850393701,0.0393700787402,0.393700787402,0.7529460389,254,
1.0,1.0,1.0,1.0,0.46,1.0,1.0,1.0,1.0,0.5700101870095087,0.00369003690037,0.0110701107011,0.0184501845018,0.0369003690037,0.152873651385,0.302939207628,271,
1.0,1.0,1.0,1.0,0.43,1.0,1.0,1.0,1.0,0.7552268745554973,0.015625,0.046875,0.078125,0.15625,0.642005759053,0.759291565494,64,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00201612903226,0.00604838709677,0.0100806451613,0.0201612903226,0.201612903226,0.872754694012,496,
0.925,0.916666666667,0.885,0.8625,0.615,0.925,0.9407732438392864,0.9236294455337255,0.9086231094674406,0.8002805368633445,0.0348747585687,0.0688264735757,0.0861316098006,0.124757139161,0.457311129223,0.679222221521,178,
