p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.9925682297440553,0.00143472022956,0.00430416068867,0.00717360114778,0.0143472022956,0.141805394868,0.786534351891,697,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00331125827815,0.00993377483444,0.0165562913907,0.0331125827815,0.331125827815,0.873186842471,302,
1.0,0.666666666667,0.6,0.6,0.2,1.0,0.7039180890341347,0.639945385422766,0.6332971816211658,0.3355259481468797,0.013698630137,0.0228310502283,0.0310502283105,0.0590998043053,0.128828460844,0.179630759888,73,
1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.8424685716128038,0.0384615384615,0.115384615385,0.192307692308,0.384615384615,0.762820512821,0.769367714112,26,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00131324261058,32,
1.0,1.0,0.8,0.8,0.26,1.0,1.0,0.8687949224876582,0.8454256604216017,0.8770058471865277,0.0344827586207,0.103448275862,0.137931034483,0.250629447181,0.715229127029,0.718258584318,29,
1.0,0.666666666667,0.6,0.6,0.3,1.0,0.7653606369886217,0.6843515475204855,0.6581810421830975,0.3591026030277083,0.00645161290323,0.0129032258065,0.0167741935484,0.0294086021505,0.0928294368965,0.187245707026,155,
1.0,1.0,1.0,1.0,0.78,1.0,1.0,1.0,1.0,0.830976358679789,0.00632911392405,0.0189873417722,0.0316455696203,0.0632911392405,0.470181685413,0.766170172184,158,
0.0,0.0,0.4,0.7,0.39,0.0,0.0,0.27727342735504823,0.5309999066793252,0.412867550511928,0.0,0.0,0.00329949238579,0.0188481991781,0.113308715509,0.163806299142,197,
1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.991739223015462,0.00154083204931,0.00462249614792,0.00770416024653,0.0154083204931,0.15159946514,0.537454133162,649,
1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9190820297817983,0.00641025641026,0.0192307692308,0.0320512820513,0.0641025641026,0.550777982938,0.756145335386,156,
0.0,0.666666666667,0.6,0.5,0.13,0.0,0.5307212739772434,0.5296347172140421,0.48571574856977245,0.7616406951184221,0.0,0.0897435897436,0.147435897436,0.237179487179,0.538664929841,0.538664929841,13,
1.0,1.0,1.0,1.0,0.57,1.0,1.0,1.0,1.0,0.6358763045220865,0.00512820512821,0.0153846153846,0.025641025641,0.0512820512821,0.220107168812,0.38678620425,195,
1.0,1.0,0.8,0.4,0.04,1.0,1.0,0.8539316501572937,0.5541432109622958,0.1202455769959402,0.00171821305842,0.00515463917526,0.00652920962199,0.00652920962199,0.00652920962199,0.030121426588,582,
1.0,1.0,1.0,0.9,0.47,1.0,1.0,1.0,0.9266360779006401,0.6776542214255017,0.0126582278481,0.0379746835443,0.0632911392405,0.109669479606,0.522130054592,0.559572923977,79,
1.0,1.0,1.0,1.0,0.69,1.0,1.0,1.0,1.0,0.7346587491731054,0.00552486187845,0.0165745856354,0.0276243093923,0.0552486187845,0.30682087051,0.589361849524,181,
1.0,1.0,1.0,1.0,0.58,1.0,1.0,1.0,1.0,0.6546450761148636,0.00990099009901,0.029702970297,0.049504950495,0.0990099009901,0.468751084151,0.620450400979,101,
0.0,0.0,0.2,0.3,0.08,0.0,0.0,0.13120507751234178,0.23690530871965634,0.27091943166017945,0.0,0.0,0.00833333333333,0.0400793650794,0.0879754754755,0.0969799797739,24,
