p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.992587468244663,0.00143472022956,0.00430416068867,0.00717360114778,0.0143472022956,0.141822077661,0.787678999678,684,
1.0,1.0,1.0,1.0,0.62,1.0,1.0,1.0,1.0,0.6752885913829697,0.00512820512821,0.0153846153846,0.025641025641,0.0512820512821,0.241580711557,0.422078820879,174,
1.0,1.0,0.8,0.7,0.18,1.0,1.0,0.8687949224876582,0.7702043899253147,0.3405099283236705,0.013698630137,0.041095890411,0.0547945205479,0.0844422700587,0.134086806255,0.179634266765,71,
1.0,0.666666666667,0.8,0.9,0.25,1.0,0.7653606369886217,0.830419897363192,0.8899541168509599,0.79962595560346,0.03125,0.0625,0.1109375,0.24701140873,0.640786720632,0.646690019177,32,
1.0,1.0,1.0,1.0,0.21,1.0,1.0,1.0,1.0,0.5674183818314209,0.0212765957447,0.063829787234,0.106382978723,0.212765957447,0.345087133583,0.386714827371,45,
1.0,1.0,1.0,0.8,0.27,1.0,1.0,1.0,0.8521705090845474,0.9020253924655779,0.0344827586207,0.103448275862,0.172413793103,0.256376573618,0.746946620505,0.747860915742,29,
1.0,1.0,1.0,1.0,0.73,1.0,1.0,1.0,1.0,0.7818514638645742,0.00862068965517,0.0258620689655,0.0431034482759,0.0862068965517,0.5628374304,0.709473193846,115,
1.0,1.0,1.0,0.9,0.49,1.0,1.0,1.0,0.9266360779006401,0.6821051747034863,0.0125,0.0375,0.0625,0.108298611111,0.505709908198,0.629659611214,80,
1.0,1.0,1.0,0.9,0.75,1.0,1.0,1.0,0.9216017310213247,0.7863995993284646,0.0047619047619,0.0142857142857,0.0238095238095,0.0405763416478,0.303930406468,0.689777808551,210,
1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,0.8851693174718867,0.00632911392405,0.0189873417722,0.0316455696203,0.0632911392405,0.519418803465,0.804519336306,157,
0.0,0.0,0.4,0.7,0.43,0.0,0.0,0.27727342735504823,0.5309999066793252,0.44782929743056293,0.0,0.0,0.00329949238579,0.0188481991781,0.130288746779,0.185054559364,171,
1.0,1.0,0.8,0.8,0.52,1.0,1.0,0.8539316501572937,0.8389574121760602,0.5726238648626681,0.0027397260274,0.00821917808219,0.0104109589041,0.0196314416177,0.0944234257867,0.158676099979,347,
1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.9847488822578103,0.00154083204931,0.00462249614792,0.00770416024653,0.0154083204931,0.150190577031,0.805006093926,612,
1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9190820297817983,0.00641025641026,0.0192307692308,0.0320512820513,0.0641025641026,0.550777982938,0.756745941172,152,
0.0,0.666666666667,0.6,0.5,0.13,0.0,0.5307212739772434,0.5296347172140421,0.48571574856977245,0.7627532237745287,0.0,0.0897435897436,0.147435897436,0.237179487179,0.541229032406,0.541229032406,13,
1.0,1.0,1.0,1.0,0.41,1.0,1.0,1.0,1.0,0.9649628969903339,0.0232558139535,0.0697674418605,0.116279069767,0.232558139535,0.935817890615,0.938966664641,43,
1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.9848460365049939,0.00361010830325,0.0108303249097,0.0180505415162,0.0361010830325,0.352049594834,0.890939633287,276,
1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.9822646484180746,0.00171821305842,0.00515463917526,0.0085910652921,0.0171821305842,0.165580536245,0.916601741563,577,
1.0,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,0.9529106833856792,0.0126582278481,0.0379746835443,0.0632911392405,0.126582278481,0.924515604123,0.943777475774,79,
1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,0.9210642755873624,0.00552486187845,0.0165745856354,0.0276243093923,0.0552486187845,0.467833409607,0.827304688087,181,
1.0,1.0,1.0,0.9,0.59,1.0,1.0,1.0,0.9216017310213247,0.6567176010085959,0.00990099009901,0.029702970297,0.049504950495,0.0843666509508,0.466771966088,0.620964840176,101,
1.0,0.666666666667,0.4,0.4,0.19,1.0,0.7039180890341347,0.5087403079104241,0.4721567066247473,0.6361286484625049,0.0416666666667,0.0694444444444,0.0694444444444,0.106944444444,0.287603049974,0.312303814895,24,
1.0,1.0,1.0,1.0,0.82,1.0,1.0,1.0,1.0,0.8561646885816789,0.00869565217391,0.0260869565217,0.0434782608696,0.0869565217391,0.660624766152,0.84041315823,115,
1.0,1.0,1.0,1.0,0.61,1.0,1.0,1.0,1.0,0.7205595412000617,0.0106382978723,0.031914893617,0.0531914893617,0.106382978723,0.553170088041,0.724575240592,93,
1.0,0.666666666667,0.6,0.6,0.47,1.0,0.7039180890341347,0.639945385422766,0.6216966993238303,0.4945266840592007,0.00621118012422,0.0103519668737,0.0140786749482,0.0252366163857,0.156505773898,0.440362498746,161,
1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,0.855182901635057,0.00315457413249,0.00946372239748,0.0157728706625,0.0315457413249,0.234179851892,0.64440123455,310,
