p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,0.666666666667,0.6,0.8,0.65,1.0,0.7653606369886217,0.6992148198508501,0.804810999209339,0.6798483125039388,0.00645161290323,0.0129032258065,0.0177419354839,0.0416692268305,0.307891328103,0.452349776686,155,
1.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,0.7550695433327489,0.00512820512821,0.0153846153846,0.025641025641,0.0512820512821,0.291880038698,0.503712475313,195,
1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.9708676041838961,0.0384615384615,0.115384615385,0.192307692308,0.384615384615,0.94397993311,0.951332874287,26,
1.0,1.0,1.0,1.0,0.31,1.0,1.0,1.0,1.0,0.9715127786588328,0.03125,0.09375,0.15625,0.3125,0.934253446692,0.93938165182,32,
1.0,1.0,1.0,1.0,0.33,1.0,1.0,1.0,1.0,0.7343870610857789,0.0212765957447,0.063829787234,0.106382978723,0.212765957447,0.509197599748,0.551151839097,47,
1.0,1.0,1.0,0.8,0.26,1.0,1.0,1.0,0.8521705090845474,0.8821990585441215,0.0344827586207,0.103448275862,0.172413793103,0.256376573618,0.727495745734,0.737260787036,29,
1.0,1.0,1.0,0.9,0.73,1.0,1.0,1.0,0.933745776545611,0.7799614433999368,0.00862068965517,0.0258620689655,0.0431034482759,0.076724137931,0.558498572842,0.70521280022,116,
1.0,1.0,1.0,1.0,0.73,1.0,1.0,1.0,1.0,0.7759124041153053,0.0047619047619,0.0142857142857,0.0238095238095,0.047619047619,0.299678765133,0.656827088475,210,
1.0,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,0.8378703647151958,0.00632911392405,0.0189873417722,0.0316455696203,0.0632911392405,0.474456026106,0.783775851855,158,
1.0,1.0,1.0,1.0,0.78,1.0,1.0,1.0,1.0,0.8184362887517052,0.0027397260274,0.00821917808219,0.013698630137,0.027397260274,0.190204115872,0.679705241934,365,
1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.9828997178797305,0.00154083204931,0.00462249614792,0.00770416024653,0.0154083204931,0.14898131659,0.820367116552,649,
1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9190820297817983,0.00641025641026,0.0192307692308,0.0320512820513,0.0641025641026,0.550777982938,0.776168468599,156,
0.0,0.666666666667,0.6,0.4,0.13,0.0,0.5307212739772434,0.5296347172140421,0.4170606134915054,0.7523799799230227,0.0,0.0897435897436,0.147435897436,0.191391941392,0.519919786096,0.519919786096,13,
1.0,1.0,1.0,0.9,0.41,1.0,1.0,1.0,0.933745776545611,0.9575446641846448,0.0232558139535,0.0697674418605,0.116279069767,0.206976744186,0.914000950441,0.923718368354,43,
