p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,1.0,1.0,1.0,0.61,1.0,1.0,1.0,1.0,0.9881609731043842,0.0126582278481,0.0379746835443,0.0632911392405,0.126582278481,0.723807790321,0.723807790321,61,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,0.9955205931435696,0.0106382978723,0.031914893617,0.0531914893617,0.106382978723,0.955636270943,0.955636270943,92,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.666666666667,0.8,0.9,0.46,0.0,0.5307212739772434,0.6608397947263839,0.7799082337019199,0.6311990651286138,0.0,0.00724637681159,0.0168737060041,0.0439194518387,0.223665254604,0.30630621291,77,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,0.666666666667,0.4,0.2,0.02,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.5,0.5,0.5,2,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.9928271243134077,0.00390625,0.01171875,0.01953125,0.0390625,0.38671875,0.777908738056,200,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.333333333333,0.2,0.1,0.03,0.0,0.23463936301137822,0.23463936301137822,0.23463936301137822,0.45628946199918624,0.0,0.015873015873,0.015873015873,0.015873015873,0.0289682539683,0.0289682539683,3,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.07821312100379274,0.0,0.0,0.0,0.0,0.00529100529101,0.0107667299531,3,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,0.9717313011457489,0.0125,0.0375,0.0625,0.125,0.857236487648,0.86170165747,74,
1.0,0.333333333333,0.4,0.2,0.39,1.0,0.46927872602275644,0.4703652827859579,0.30523488393970116,0.3875569421577572,0.0047619047619,0.0047619047619,0.00666666666667,0.00666666666667,0.0697573119799,0.286677561677,170,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,0.8,0.4,0.04,1.0,1.0,1.0,1.0,1.0,0.0384615384615,0.115384615385,0.153846153846,0.153846153846,0.153846153846,0.153846153846,4,
1.0,1.0,1.0,1.0,0.31,1.0,1.0,1.0,1.0,0.9897680150236561,0.03125,0.09375,0.15625,0.3125,0.921884408904,0.921884408904,31,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
