p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,1.0,1.0,1.0,0.78,1.0,1.0,1.0,1.0,0.9981780524265379,0.0126582278481,0.0379746835443,0.0632911392405,0.126582278481,0.976827862337,0.976827862337,78,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000457629213357,6,
1.0,1.0,0.8,0.8,0.65,1.0,1.0,0.8539316501572937,0.8415908474314976,0.6807440266427895,0.00552486187845,0.0165745856354,0.0209944751381,0.0400793650794,0.256740378153,0.545544015523,161,
0.0,0.333333333333,0.2,0.2,0.16,0.0,0.23463936301137822,0.16958010263680806,0.17630010660342912,0.3954822744556224,0.0,0.0111111111111,0.0111111111111,0.0185185185185,0.103877407416,0.127194609703,27,
0.0,0.333333333333,0.4,0.5,0.18,0.0,0.2960819109658652,0.34519134224686937,0.42331179510529354,0.7351962529276175,0.0,0.0208333333333,0.0375,0.0924768518519,0.373691458738,0.373691458738,18,
1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,0.9851917258603544,0.0106382978723,0.031914893617,0.0531914893617,0.106382978723,0.955118882186,0.96482762005,94,
1.0,1.0,1.0,1.0,0.78,1.0,1.0,1.0,1.0,0.8255169402401333,0.00869565217391,0.0260869565217,0.0434782608696,0.0869565217391,0.624490242244,0.761092509429,114,
0.0,0.333333333333,0.2,0.2,0.51,0.0,0.2960819109658652,0.21398626473452756,0.2082936658103318,0.4644100150668427,0.0,0.00310559006211,0.00310559006211,0.00465838509317,0.14195338613,0.420230891747,156,
0.0,0.666666666667,0.8,0.9,0.48,0.0,0.5307212739772434,0.6608397947263839,0.7799082337019199,0.5374079742672683,0.0,0.0101449275362,0.0236231884058,0.0614872325742,0.316921201239,0.518658846253,111,
0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.13423237022766094,0.0,0.0,0.0,0.0,0.0130385487528,0.0266940109377,4,
0.0,0.0,0.2,0.4,0.39,0.0,0.0,0.13120507751234178,0.3063365306564336,0.5924717750056102,0.0,0.0,0.0018018018018,0.0131703131703,0.154134104544,0.195521111951,53,
