p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,1.0,1.0,1.0,0.78,1.0,1.0,1.0,1.0,0.9981780524265379,0.0126582278481,0.0379746835443,0.0632911392405,0.126582278481,0.976827862337,0.976827862337,78,
0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.045645819170786986,0.0,0.0,0.0,0.0,0.000101030511214,0.000587527924637,6,
1.0,1.0,0.8,0.8,0.65,1.0,1.0,0.8539316501572937,0.8415908474314976,0.6807440266427895,0.00552486187845,0.0165745856354,0.0209944751381,0.0400793650794,0.256740378153,0.545544015523,161,
0.0,0.333333333333,0.2,0.2,0.16,0.0,0.23463936301137822,0.16958010263680806,0.17630010660342912,0.3954822744556224,0.0,0.0111111111111,0.0111111111111,0.0185185185185,0.103877407416,0.127194609703,27,
0.0,0.333333333333,0.4,0.5,0.18,0.0,0.2960819109658652,0.34519134224686937,0.42331179510529354,0.7351962529276175,0.0,0.0208333333333,0.0375,0.0924768518519,0.373691458738,0.373691458738,18,
1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,0.9851917258603544,0.0106382978723,0.031914893617,0.0531914893617,0.106382978723,0.955118882186,0.96482762005,94,
1.0,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,0.8333866527968301,0.00869565217391,0.0260869565217,0.0434782608696,0.0869565217391,0.634384160448,0.760314341744,114,
0.0,0.333333333333,0.2,0.2,0.51,0.0,0.2960819109658652,0.21398626473452756,0.2082936658103318,0.4644100150668427,0.0,0.00310559006211,0.00310559006211,0.00465838509317,0.14195338613,0.420230891747,156,
1.0,0.666666666667,0.8,0.9,0.37,1.0,0.7653606369886217,0.830419897363192,0.8899541168509599,0.4490302724665736,0.00869565217391,0.0173913043478,0.0308695652174,0.0687336093858,0.205083981091,0.421809719258,110,
0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.13340442744658895,0.0,0.0,0.0,0.0,0.011911395932,0.0206119984752,4,
0.0,0.0,0.2,0.4,0.39,0.0,0.0,0.13120507751234178,0.3063365306564336,0.5924717750056102,0.0,0.0,0.0018018018018,0.0131703131703,0.154134104544,0.195521111951,53,
0.0,0.0,0.0,0.1,0.02,0.0,0.0,0.0,0.06943122193677727,0.022620560329227515,0.0,0.0,0.0,0.00048828125,0.000587173655063,0.0204546120579,147,
0.0,0.333333333333,0.2,0.2,0.06,0.0,0.2960819109658652,0.21398626473452756,0.21726071285222986,0.27914158909416686,0.0,0.0208333333333,0.0208333333333,0.0347222222222,0.0502816679589,0.0699003457517,16,
1.0,1.0,1.0,1.0,0.17,1.0,1.0,1.0,1.0,0.8002757243782909,0.047619047619,0.142857142857,0.238095238095,0.47619047619,0.578863114787,0.600688413936,21,
0.0,0.0,0.0,0.1,0.02,0.0,0.0,0.0,0.07839826897867533,0.030858402086310605,0.0,0.0,0.0,0.00185185185185,0.00256869772999,0.0559002361223,81,
0.0,0.0,0.0,0.1,0.02,0.0,0.0,0.0,0.0979129253499678,0.1427593343270651,0.0,0.0,0.0,0.00113378684807,0.00133096716948,0.00182419909462,7,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00271739130435,1,
1.0,0.666666666667,0.8,0.8,0.21,1.0,0.7653606369886217,0.830419897363192,0.8205228949141826,0.8582530817973604,0.00862068965517,0.0172413793103,0.0306034482759,0.0587780514505,0.103154473582,0.103154473582,21,
0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.1365908910885863,0.0,0.0,0.0,0.0,0.0136450015926,0.0500948375687,62,
0.0,0.333333333333,0.2,0.4,0.14,0.0,0.23463936301137822,0.16958010263680806,0.3241295975188817,0.6707983332163115,0.0,0.0015873015873,0.0015873015873,0.00707671957672,0.0284980103152,0.0284980103152,14,
1.0,1.0,0.8,0.7,0.29,1.0,1.0,0.8687949224876582,0.7849818707050383,0.41931717877651914,0.00632911392405,0.0189873417722,0.0253164556962,0.0415536467752,0.12083139122,0.231337613803,89,
0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.025643810979174713,0.0,0.0,0.0,0.0,0.00106837606838,0.0133956346549,22,
1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,0.9997981694891248,0.03125,0.09375,0.15625,0.3125,0.936491935484,0.936491935484,30,
1.0,1.0,0.8,0.8,0.31,1.0,1.0,0.8539316501572937,0.8318477135310893,0.801120914305063,0.0212765957447,0.063829787234,0.0808510638298,0.148108747045,0.439345410375,0.460460835561,37,
1.0,0.333333333333,0.4,0.2,0.09,1.0,0.46927872602275644,0.4703652827859579,0.30523488393970116,0.3350125743731266,0.0344827586207,0.0344827586207,0.048275862069,0.048275862069,0.0835696351046,0.105566534199,25,
0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.10329939641829175,0.0,0.0,0.0,0.0,0.00950374345723,0.0238697854178,13,
1.0,1.0,1.0,1.0,0.36,1.0,1.0,1.0,1.0,0.9231316758934791,0.0232558139535,0.0697674418605,0.116279069767,0.232558139535,0.737288575727,0.744958400956,39,
0.0,0.666666666667,0.8,0.8,0.6,0.0,0.5307212739772434,0.6608397947263839,0.7136540102475308,0.6034152302354481,0.0,0.00707070707071,0.0164646464646,0.0368614718615,0.231966427562,0.478867022463,147,
1.0,1.0,1.0,1.0,0.23,1.0,1.0,1.0,1.0,0.9983992108063741,0.00724637681159,0.0217391304348,0.036231884058,0.0724637681159,0.165375228112,0.165375228112,23,
