p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,1.0,1.0,1.0,0.52,1.0,1.0,1.0,1.0,0.995096863590588,0.0126582278481,0.0379746835443,0.0632911392405,0.126582278481,0.640709041575,0.640709041575,52,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,0.9894138059119203,0.0106382978723,0.031914893617,0.0531914893617,0.106382978723,0.952537627947,0.960974898673,92,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,0.666666666667,0.8,0.8,0.45,1.0,0.7653606369886217,0.830419897363192,0.8205228949141826,0.5983899968902001,0.00621118012422,0.0124223602484,0.022049689441,0.0423494035295,0.206076540742,0.303540406111,84,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,0.666666666667,0.4,0.2,0.02,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.5,0.5,0.5,2,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00390625,0.01171875,0.01953125,0.0390625,0.390625,0.777947413799,200,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.333333333333,0.2,0.1,0.03,0.0,0.23463936301137822,0.23463936301137822,0.23463936301137822,0.45628946199918624,0.0,0.015873015873,0.015873015873,0.015873015873,0.0289682539683,0.0289682539683,3,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.07821312100379274,0.0,0.0,0.0,0.0,0.00529100529101,0.0107667299531,3,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,0.99116255794806,0.0125,0.0375,0.0625,0.125,0.860150471869,0.860150471869,72,
1.0,0.333333333333,0.4,0.3,0.46,1.0,0.46927872602275644,0.4703652827859579,0.38363315291837646,0.4644046959364984,0.0047619047619,0.0047619047619,0.00666666666667,0.00904761904762,0.106842517647,0.324552882179,170,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,0.8,0.4,0.04,1.0,1.0,1.0,1.0,1.0,0.0384615384615,0.115384615385,0.153846153846,0.153846153846,0.153846153846,0.153846153846,4,
1.0,1.0,1.0,1.0,0.31,1.0,1.0,1.0,1.0,0.9897680150236561,0.03125,0.09375,0.15625,0.3125,0.921884408904,0.921884408904,31,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,0.9,0.68,1.0,1.0,1.0,0.9216017310213247,0.9779954959046856,0.00724637681159,0.0217391304348,0.036231884058,0.0617466068553,0.450091281925,0.450091281925,68,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.42,1.0,1.0,1.0,1.0,0.9557855015964976,0.015625,0.046875,0.078125,0.15625,0.568848749584,0.575435759388,43,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.333333333333,0.6,0.8,0.98,0.0,0.23463936301137822,0.4468535299918563,0.6410457898283652,0.9221092034272945,0.0,0.00131233595801,0.00564304461942,0.0202443444569,0.356792303011,0.383821180173,105,
1.0,1.0,1.0,1.0,0.49,1.0,1.0,1.0,1.0,1.0,0.00671140939597,0.0201342281879,0.0335570469799,0.0671140939597,0.328859060403,0.328859060403,49,
1.0,1.0,0.8,0.9,0.91,1.0,1.0,0.8539316501572937,0.9052116356304493,0.9134133064181067,0.00236406619385,0.00709219858156,0.00898345153664,0.0192774588165,0.198536558335,0.506176635941,254,
1.0,1.0,1.0,0.9,0.99,1.0,1.0,1.0,0.933745776545611,0.9856232519498774,0.00315457413249,0.00946372239748,0.0157728706625,0.0280757097792,0.30486306226,0.893287221364,293,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.933745776545611,0.9014129663935321,0.00171821305842,0.00515463917526,0.0085910652921,0.0152920962199,0.137183700579,0.687992945056,433,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.89,1.0,1.0,1.0,1.0,0.9998808687855634,0.00154083204931,0.00462249614792,0.00770416024653,0.0154083204931,0.137030727067,0.137030727067,89,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.00507614213198,0.0152284263959,0.0253807106599,0.0507614213198,0.10152284264,0.10152284264,20,
0.0,0.333333333333,0.2,0.5,0.88,0.0,0.23463936301137822,0.16958010263680806,0.3827160388385181,0.8066598876234822,0.0,0.000913242009132,0.000913242009132,0.00531093716025,0.192646322388,0.657365524507,294,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.34,0.333333333333,0.324,0.314,0.2362,0.34,0.3387711490409102,0.3401157965189297,0.34313724318507627,0.3605123800080589,0.00827648025683,0.0198767128543,0.0254820376099,0.0374024987712,0.1508661126,0.204098476787,47,
