p1,p3,p5,p10,p100,ndcg1,ndcg3,ndcg5,ndcg10,ndcg100,ap1,ap3,ap5,ap10,ap100,ap_full,num_rel,
1.0,1.0,1.0,1.0,0.78,1.0,1.0,1.0,1.0,0.9971190639618839,0.0126582278481,0.0379746835443,0.0632911392405,0.126582278481,0.970914393699,0.970914393699,78,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046273989805,6,
0.0,0.666666666667,0.8,0.8,0.68,0.0,0.5307212739772434,0.6608397947263839,0.7065443116025598,0.6817603757461179,0.0,0.00644567219153,0.0150092081031,0.0324739103745,0.275488823695,0.575783536237,167,
1.0,0.333333333333,0.2,0.1,0.14,1.0,0.46927872602275644,0.3391602052736161,0.22009176629808017,0.3772823524342663,0.0333333333333,0.0333333333333,0.0333333333333,0.0333333333333,0.091454446842,0.134087275095,28,
1.0,0.666666666667,0.6,0.3,0.15,1.0,0.7653606369886217,0.6992148198508501,0.4537425745411855,0.6912890114676561,0.0416666666667,0.0833333333333,0.114583333333,0.114583333333,0.271062675914,0.289066268822,18,
1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,0.9851917258603544,0.0106382978723,0.031914893617,0.0531914893617,0.106382978723,0.955118882186,0.96482762005,94,
1.0,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,0.8320157467057658,0.00869565217391,0.0260869565217,0.0434782608696,0.0869565217391,0.628698264185,0.757438472291,114,
0.0,0.333333333333,0.2,0.2,0.51,0.0,0.2960819109658652,0.21398626473452756,0.2082936658103318,0.4644100150668427,0.0,0.00310559006211,0.00310559006211,0.00465838509317,0.14195338613,0.420230891747,156,
0.0,0.666666666667,0.8,0.9,0.75,0.0,0.5307212739772434,0.6608397947263839,0.7799082337019199,0.7609662739927355,0.0,0.0101449275362,0.0236231884058,0.0614872325742,0.559200200749,0.770379318028,112,
0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.1321093888728105,0.0,0.0,0.0,0.0,0.0123219373219,0.0259773995068,4,
0.0,0.0,0.2,0.4,0.39,0.0,0.0,0.13120507751234178,0.3063365306564336,0.5924717750056102,0.0,0.0,0.0018018018018,0.0131703131703,0.154134104544,0.195521111951,53,
0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.007873033475331397,0.0,0.0,0.0,0.0,5.91856060606e-05,0.0192728214969,147,
0.0,0.333333333333,0.2,0.3,0.07,0.0,0.2960819109658652,0.21398626473452756,0.28165758790969186,0.298607404404869,0.0,0.0208333333333,0.0208333333333,0.0483630952381,0.0643542830225,0.0865517358211,18,
1.0,1.0,1.0,1.0,0.19,1.0,1.0,1.0,1.0,0.863523326052165,0.047619047619,0.142857142857,0.238095238095,0.47619047619,0.651715892891,0.66039936628,21,
0.0,0.0,0.0,0.1,0.02,0.0,0.0,0.0,0.07839826897867533,0.030858402086310605,0.0,0.0,0.0,0.00185185185185,0.00256869772999,0.0559002361223,81,
0.0,0.0,0.0,0.1,0.02,0.0,0.0,0.0,0.0979129253499678,0.1427593343270651,0.0,0.0,0.0,0.00113378684807,0.00133096716948,0.00182419909462,7,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00269541778976,1,
0.0,0.333333333333,0.4,0.7,0.3,0.0,0.2960819109658652,0.36005461457723403,0.5847192329112588,0.6640812019803269,0.0,0.00431034482759,0.00862068965517,0.035026683087,0.110618018986,0.124786280407,36,
0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.13625963471886363,0.0,0.0,0.0,0.0,0.0134409965185,0.0487119981196,62,
0.0,0.333333333333,0.2,0.4,0.14,0.0,0.23463936301137822,0.16958010263680806,0.3241295975188817,0.6707983332163115,0.0,0.0015873015873,0.0015873015873,0.00707671957672,0.0284980103152,0.0284980103152,14,
1.0,1.0,0.8,0.7,0.29,1.0,1.0,0.8687949224876582,0.7849818707050383,0.4076663510123059,0.00632911392405,0.0189873417722,0.0253164556962,0.0415536467752,0.118589687299,0.234529332308,92,
0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02343507589210644,0.0,0.0,0.0,0.0,0.000754147812971,0.0116442183223,22,
1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,0.9997981694891248,0.03125,0.09375,0.15625,0.3125,0.936491935484,0.936491935484,30,
1.0,0.333333333333,0.6,0.5,0.33,1.0,0.46927872602275644,0.6164336326286644,0.542042305486879,0.7141446162176991,0.0212765957447,0.0212765957447,0.0446808510638,0.0695035460993,0.355203635816,0.375052856389,40,
1.0,0.333333333333,0.4,0.2,0.09,1.0,0.46927872602275644,0.4703652827859579,0.30523488393970116,0.3350125743731266,0.0344827586207,0.0344827586207,0.048275862069,0.048275862069,0.0835696351046,0.105566534199,25,
0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.10274255309670546,0.0,0.0,0.0,0.0,0.00927607867367,0.023467285876,13,
1.0,1.0,1.0,1.0,0.36,1.0,1.0,1.0,1.0,0.9165874303743445,0.0232558139535,0.0697674418605,0.116279069767,0.232558139535,0.715533799181,0.721186207251,39,
1.0,1.0,1.0,0.9,0.65,1.0,1.0,1.0,0.9216017310213247,0.6919474370669075,0.00606060606061,0.0181818181818,0.030303030303,0.0516426166426,0.293728920585,0.532294182771,147,
1.0,1.0,1.0,1.0,0.23,1.0,1.0,1.0,1.0,0.9983992108063741,0.00724637681159,0.0217391304348,0.036231884058,0.0724637681159,0.165375228112,0.165375228112,23,
1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.9508517533674462,0.00201612903226,0.00604838709677,0.0100806451613,0.0201612903226,0.17973996427,0.21630087721,114,
1.0,1.0,1.0,1.0,0.59,1.0,1.0,1.0,1.0,0.943959809775266,0.015625,0.046875,0.078125,0.15625,0.817833266562,0.842257398232,62,
1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,0.9938088637162323,0.0322580645161,0.0967741935484,0.161290322581,0.322580645161,0.94053612442,0.94053612442,30,
0.0,0.333333333333,0.4,0.4,0.11,0.0,0.23463936301137822,0.30078518014914984,0.3398414932237254,0.1868620104215133,0.0,0.00123001230012,0.00270602706027,0.00619106191062,0.0140445062291,0.0373613413876,70,
1.0,1.0,1.0,1.0,0.61,1.0,1.0,1.0,1.0,1.0,0.00393700787402,0.011811023622,0.0196850393701,0.0393700787402,0.240157480315,0.240157480315,61,
1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.9815945756090375,0.00671140939597,0.0201342281879,0.0335570469799,0.0671140939597,0.644123244016,0.880861180874,134,
1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9698157731435408,0.00236406619385,0.00709219858156,0.0118203309693,0.0236406619385,0.225062895544,0.672958093312,353,
1.0,1.0,0.8,0.9,0.88,1.0,1.0,0.8539316501572937,0.9052116356304493,0.8937498182758293,0.00315457413249,0.00946372239748,0.0119873817035,0.0257235491463,0.258281547957,0.860730383654,313,
1.0,1.0,1.0,0.9,0.69,1.0,1.0,1.0,0.9305687780632227,0.7487685868310391,0.00361010830325,0.0108303249097,0.0180505415162,0.0317288407541,0.220083285043,0.414414575817,164,
1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.9764764995763721,0.00171821305842,0.00515463917526,0.0085910652921,0.0171821305842,0.164765663562,0.867905676819,533,
0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.33731784343983756,0.0,0.0,0.0,0.0,0.000542290086766,0.000542290086766,4,
1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,0.9994895242319282,0.00512820512821,0.0153846153846,0.025641025641,0.0512820512821,0.322118056264,0.322118056264,63,
1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,0.9486814329231247,0.00154083204931,0.00462249614792,0.00770416024653,0.0154083204931,0.139240746611,0.266369228068,203,
1.0,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,1.0,0.00641025641026,0.0192307692308,0.0320512820513,0.0641025641026,0.0961538461538,0.0961538461538,15,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1.0,1.0,0.8,0.9,0.74,1.0,1.0,0.8687949224876582,0.914856882358379,0.9472739377704331,0.0027397260274,0.00821917808219,0.0109589041096,0.0228886714503,0.162512735623,0.162512735623,74,
1.0,1.0,1.0,0.7,0.57,1.0,1.0,1.0,0.7909506325094737,0.5918776263817392,0.00645161290323,0.0193548387097,0.0322580645161,0.0432258064516,0.215933190846,0.347637585503,112,
0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.038925970325304815,0.0,0.0,0.0,0.0,0.000428082191781,0.00225240368609,12,
1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,0.8482378089219645,0.8239026457520134,0.00331125827815,0.00993377483444,0.0165562913907,0.0242641648271,0.23260963819,0.598588815546,262,
0.56,0.573333333333,0.568,0.564,0.3844,0.56,0.5718432764386346,0.5685594505893811,0.566505254342783,0.5770493297848928,0.00762977907863,0.0194454400314,0.0311790837746,0.0581776481995,0.249712455989,0.340171899329,84,
